NN;lex_rus;lang;class;lex_nd;first_cons;cons_type_old;cons_type;CL_SG;final_cons;fin_cons_type;POST_SG;first_vowel;vowel_type;lex_rus_sem;compound;semantics_KK;semantics_KK_detailed;;;;;
1;golova;and;4;mijar;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
1;golova;cham;4;un;NA;NA;NA;NA;;;;u;;;0;body;golova i sheja;;;;;
1;golova;chamg;4;uni;NA;NA;NA;NA;;;;u;;;0;body;golova i sheja;;;;;
1;golova;inh;4;q'1em;q';plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
1;golova;tsez;4;q'1im;q';plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
1;golova;gin;4;q'imu;q';plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
1;golova;bezht;4;q'äm;q';plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
1;golova;bezhh;4;q'äm;q';plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
1;golova;gunz;4;q'em;q';plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
1;golova;lak;3;bak';b;labial;labial;1;;;;;;;0;body;golova i sheja;;;;;
1;golova;arch;4;kart'i;k;plosive.post;plosive.post;NA;;;;;;muzhtchiny;0;body;golova i sheja;;;;;
1;golova;arch;4;o1nt;NA;NA;NA;NA;;;;o1;;zhenschiny i zhivotnogo;0;body;golova i sheja;;;;;
1;golova;rutl;3;huq'ul;h;fricative.post;fricative.post;NA;;;;;;;0;body;golova i sheja;;;;;
1;golova;rutl;3;kalle;k;plosive.post;plosive.post;NA;;;;;;krupnogo rogatogo ckota;0;body;golova i sheja;;;;;
1;golova;tsah;3;wuk'uly;w;labial;labial;1;;;;;;;0;body;golova i sheja;;;;;
1;golova;tsah;3;kalle;k;plosive.post;plosive.post;NA;;;;;;zhivotnogo;0;body;golova i sheja;;;;;
1;golova;tsahg;3;wuq'uly;w;labial;labial;1;;;;;;;0;body;golova i sheja;;;;;
1;golova;tsahg;3;kalle;k;plosive.post;plosive.post;NA;;;;;;zhivotnogo;0;body;golova i sheja;;;;;
1;golova;tsahc;3;wuk'ul;w;labial;labial;1;;;;;;;0;body;golova i sheja;;;;;
1;golova;tsahc;4;kalle;k;plosive.post;plosive.post;NA;;;;;;zhivotnogo;0;body;golova i sheja;;;;;
1;golova;kryz;3;q'ɨl;q';plosive.post;plosive.post;NA;l;liquid;0;;;;0;body;golova i sheja;;;;;
1;golova;bud;3;q'ɨl;q';plosive.post;plosive.post;NA;l;liquid;0;;;;0;body;golova i sheja;;;;;
1;golova;hin;4;kalla;k;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
1;golova;hin;3;mik'ir;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
